Column 1,#,Room,Rarity,Rarity value,Special type,Room description,Gem cost,Gems,Doors,Shape,Chess piece,Remarks,"Blue Notes (From Blue Tent, added by maqij)",Secrets (a),Secrets (b),Secrets (c),Secrets (d),Secrets (e),Column 20
1 Draft rooms (Blue),22,rumpus room,standard,2,None,8 coins,1,,2,|,black bishop,,,,,,,,
5 Shops (Gold),76,bookshop,rare,4,None,books for sale,1,,2,⎾,black bishop,,,,,,,,
1 Draft rooms (Blue),5,Parlor,commonplace,1,Puzzle,puzzle,0,,2,⎾,black pawn,,,,,,,,
1 Draft rooms (Blue),10,walk in closet,standard,2,Dead-End,4 items,1,,1,∏,black pawn,,,,,,,,
3 Hallways (Orange),60,secret passage,unusual,3,Dead-End,Leads to a room of a color of your choice,1,,2,|,Black pawn,,,,,,,,
"7 Studio Additions, 2 Bedrooms (Purple)",90,Dormitory,standard,2,"Enter, Dead-End","Each time you enter Dormitory after drafting a Drafting Room, Gain 10 Steps",,,1,∏,black pawn,,,,,,,,
"7 Studio Additions, 4 Green Rooms (Green)",94,Solarium,standard,2,None,You are more likely to draw Unusual and Rare rooms while drafting,1,,1,∏,black pawn,,,,,,,,
2 Bedrooms (Purple),52,bunk room,unusual,3,Dead-End,this room counts as 2 bedrooms,0,,1,∏,black pawn X2,,,,,,,,
1 Draft rooms (Blue),26,study,unusual,3,"Drafting, Dead-End",spend gems to redraw floor plans up to 8 times,0,,1,∏,Black queen,,,,,,,,
"7 Studio Additions, 1 Draft rooms (Blue)",89,Clock Tower,unusual,3,"Tomorrow, Dead-End","Tomorrow, you will start with 1 Key for every Tomorrow Room you Draft today.",1,,1,∏,black rook,,,,,,,,
"8 Found floorplans, 4 Green Rooms (Green)",97,Conservatory,unusual,3,Drafting,Adjust the rarities of the floor plans in your house,1,,2,⎾,Black rook,,,,,,,,
Underground,127,The precipice (chess room),,,,,,,,,Every,,,,,,,,
"8 Found floorplans, Blackprint (Black)",101,Throne Room,rare,4,None,Reclaim the crown,5,,3,⏉,King,,,,,,,,
"5 Shops (Gold), Blackprint (Black)",77,Armory,standard,2,None,Weapons and Armor for Sale,0,,2,⎾,Knight,,,,,,,,
1 Draft rooms (Blue),1,Foundation ,rare,4,Permanent,Does not reset each day,0,,3,⏉,None,,,,,,,,
1 Draft rooms (Blue),2,Entrance hall,NA,5,Permanent,None,0,,3,＋,None,,,,,,,,
1 Draft rooms (Blue),3,spare room,commonplace,1,None,None,0,,2,|,None,,,,,,,,
1 Draft rooms (Blue),6,billiard room,commonplace,1,Puzzle,puzzle,0,,2,⎾,None,,,,,,,,
1 Draft rooms (Blue),8,Room 8,rare,4,Puzzle,Puzzle,0,,2,⎾,None,,,,,,,,
1 Draft rooms (Blue),9,closet,commonplace,1,Dead-End,2 items,0,,1,∏,None,,,,,,,,
1 Draft rooms (Blue),14,garage,unusual,3,Dead-End,3 key,0,,1 (+garage door),∏,None,,,,,,,,
1 Draft rooms (Blue),15,music room,unusual,3,None,"1 major key, 1 minor key (major key means special key, minor keys means regular key)",2,,2,⎾,None,,,,,,,,
1 Draft rooms (Blue),16,locker room,rare,4,Spread,spread keys throughout the house,0,,2,|,None,,,,,,,,
1 Draft rooms (Blue),18,wine cellar,commonplace,1,Dead-End,3 gem,0,,1,∏,None,,,,,,,,
1 Draft rooms (Blue),21,pantry,commonplace,1,None,4 coins,0,,2,⎾,None,,,,,,,,
1 Draft rooms (Blue),27,library,unusual,3,Drafting,discover less common floor plans while drafting in library,0,,2,⎾,None,,,,,,,,
1 Draft rooms (Blue),29,pool,standard,2,Drafting,"adds locker room, sauna, and pump room to today's draft pool",1,,3,⏉,None,,,,,,,,
1 Draft rooms (Blue),31,utility closet,standard,2,Mechanical,breaker box,0,,1,∏,None,,,,,,,,
1 Draft rooms (Blue),32,boiler room,unusual,3,Mechanical,power source,1,,3,⏉,None,,,,,,,,
"1 Draft rooms (Blue), Additions",33,pump room,unusual,3,Mechanical,control water flow through the estate. ,0,,2,⎾,none,,,,,,,,
1 Draft rooms (Blue),35,workshop,unusual,3,Mechanical,combine inventory to create new items,0,,1,∏,None,,,,,,,,
1 Draft rooms (Blue),43,conference room,unusual,3,Spread,whenever items would be spread throughout the house they are placed in this room instead,0,,3,⏉,None,,,,,,,,
"1 Draft rooms (Blue), 2 Bedrooms (Purple), 3 Hallways (Orange), 4 Green Rooms (Green), 5 Shops (Gold), 6 Red Rooms (Red), Blackprint (Black)",44,aquarium,unusual,3,,aquarium is every color of room,1,,3,⏉,None,,,,,,,,
1 Draft rooms (Blue),45,antechamber,NA,5,,No room description,0,,4,＋,None,,,,,,,,
2 Bedrooms (Purple),48,boudoir,standard,2,None,,0,,2,⎾,None,,,,,,,,
2 Bedrooms (Purple),54,Master bedroom,rare,4,Dead-End,Add 1 Step for each room in your house,2,,1,∏,none,,,,,,,,
3 Hallways (Orange),55,hallway,commonplace,1,None,,0,,3,⏉,None,,,,,,,,
3 Hallways (Orange),56,west wing hall,standard,2,None,,0,,3,⏉,None,,,,,,,,
3 Hallways (Orange),57,east wing hall,unusual,3,None,,0,,3,⏉,None,,,,,,,,
3 Hallways (Orange),58,corridor,commonplace,1,None,corridor is always left unlocked,0,,2,|,None,,,,,,,,
3 Hallways (Orange),59,passageway,commonplace,1,None,,2,,4,＋,None,,,,,,,,
3 Hallways (Orange),61,foyer,unusual,3,None,hallway doors are always unlocked,2,,2,|,None,,,,,,,,
3 Hallways (Orange),62,Great hall,unusual,3,None,7 locked doors,0,,4,＋,None,,,,,,,,
4 Green Rooms (Green),63,Terrace,standard,2,Dead-End,green rooms do not cost gems to draft,0,,1,∏,None,,,,,,,,
4 Green Rooms (Green),65,courtyard,standard,2,None,,1,,3,⏉,None,,,,,,,,
4 Green Rooms (Green),66,cloister,unusual,3,None,,3,,4,＋,None,,,,,,,,
4 Green Rooms (Green),67,veranda,unusual,3,None,greater chance of finding items in green rooms,2,,2,|,None,,,,,,,,
4 Green Rooms (Green),68,greenhouse,standard,2,"Drafting, Dead-End",more likely to draw green rooms while drafting,1,,1/2,"∏, ⎾",None,,,,,,,,
5 Shops (Gold),71,Commissary,standard,2,None,items for sale,1,,2,⎾,None,,,,,,,,
5 Shops (Gold),72,Kitchen,commonplace,1,None,food for sale,1,,2,⎾,None,,,,,,,,
"5 Shops (Gold), 7 Studio Additions",78,Mount Holly Gift Shop,rare,4,None,Souvenirs for Sale,0,,3,⏉,None,,,,,,,,
6 Red Rooms (Red),79,lavatory,commonplace,1,Dead-End,,0,,1,∏,None,,,,,,,,
6 Red Rooms (Red),84,darkroom,standard,2,Drafting,you cannot see floor plans while drafting in this room,0,,3,⏉,None,,,,,,,,
"7 Studio Additions, 1 Draft rooms (Blue)",88,Kennel,standard,2,None,"Each time you dig in a room, unlock all doors in that room.",0,,2,|,None,,,,,,,,
"8 Found floorplans, 1 Draft rooms (Blue)",95,Planetarium,standard,2,Dead-End,"If you call it a day in PLANETARIUM, gain 2 stars",0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 1 Draft rooms (Blue)",103,shelter,unusual,3,Dead-End,shelter from negative effects of next 3 red rooms drafted,0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 1 Draft rooms (Blue)",104,shrine,unusual,3,Dead-End,"make an offering, receive a blessing",0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 1 Draft rooms (Blue)",105,toolshed,unusual,3,Dead-End,2 special items,0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 1 Draft rooms (Blue)",106,Schoolhouse,unusual,3,"Drafting, Dead-End",adds 8 classrooms to today's draft pool,0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 2 Bedrooms (Purple)",107,hovel,unusual,3,Dead-End,special floorplans now cost additional steps instead of gems,0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 4 Green Rooms (Green)",108,root cellar,unusual,3,Dead-End,rooms in your house will be more likely to contain dig spots today,0,,1,∏,None,,,,,,,,
"9 Outer Rooms, 5 Shops (Gold)",109,trading post,unusual,3,Dead-End,items for trade,0,,1,∏,None,,,,,,,,
"9 Outer Rooms, Blackprint (Black)",110,tomb,unusual,3,Dead-End,each time you draft a dead end spread 5 coins in the tomb,0,,1,∏,None,,,,,,,,
Others,111,Apple orchard,NA,5,None,,0,,1,∏,None,,,,,,,,
Others,112,Blackbridge grotto,NA,5,None,,0,,1?2?,|⎾,None,,,,,,,,
Others,113,Gem mine,NA,5,None,,0,,1,∏,None,,,,,,,,
Others,114,Cavern,NA,5,None,,0,,1,∏,None,,,,,,,,
Underground,115,Foundation elevator,NA,5,None,,0,,1,∏,None,,,,,,,,
Underground,116,Basement,NA,5,None,,0,,3,⏉,None,,,,,,,,
Underground,117,Cliffside entrance,NA,5,None,,0,,1,∏,None,,,,,,,,
Underground,118,Minecart,NA,5,None,,0,,2,|,None,,,,,,,,
Underground,119,Fountain entrance,NA,5,None,,0,,2,|,None,,,,,,,,
Underground,120,Tomb entrnace,NA,5,None,,0,,2,|,None,,,,,,,,
Underground,121,Torch chamber,NA,5,None,,0,,2,|,None,,,,,,,,
Underground,122,Rotating gear,NA,5,None,,0,,4,＋,None,,,,,,,,
Underground,123,To North lever,NA,5,None,,0,,2,|,None,,,,,,,,
Underground,124,Catacombs,NA,5,None,,0,,2,|,None,,,,,,,,
